Year,Population,Season,Line#,Treatment,TechRep,Load (log[count/mL])
2014,PA,Fall,7,PR,1,1.657555197
2014,PA,Spring,1,PR,2,1.989182659
2012,VA,Spring,15,PR,3,1.987929276
2014,MA,Spring,18,PR,2,1.985709399
2014,VA,Spring,13,PR,1,1.985068846
2014,VA,Fall,2,PR,1,1.982967254
2014,MA,Spring,19,PR,1,1.982150755
2012,VA,Spring,12,PR,1,1.981658636
2014,MA,Fall,19,PR,1,1.648160891
2014,MA,Spring,3,PR,3,1.980669351
2014,MA,Spring,15,PR,2,1.978502422
2014,MA,Fall,8,PR,1,1.645169089
2012,MA,Spring,9,PR,2,1.977152624
2012,MA,Spring,15,PR,2,1.976131951
2014,MA,Spring,8,PR,2,1.976131951
2014,PA,Fall,2,PR,1,1.976131951
2014,PA,Fall,16,PR,2,1.641426429
2014,VA,Fall,7,PR,3,1.971447719
2012,VA,Spring,15,PR,2,1.969495006
2014,PA,Fall,15,PR,2,1.96913712
2012,MA,Spring,14,PR,1,1.966971023
2012,MA,Spring,18,PR,2,1.966789043
2014,VA,Spring,16,PR,1,1.964217011
2012,VA,Fall,39,PR,3,1.962913654
2014,VA,Spring,1,PR,1,1.962913654
2014,PA,Spring,9,PR,2,1.961787073
2014,PA,Spring,13,PR,1,1.961787073
2014,VA,Fall,20,PR,2,1.62845374
2012,PA,Spring,12,PR,1,1.961598455
2012,PA,Spring,2,PR,1,1.961598455
2014,PA,Fall,16,PR,1,1.628076257
2014,VA,Fall,16,PR,2,1.625790449
2014,PA,Fall,10,PR,2,1.959123782
2014,MA,Fall,15,PR,1,1.624633866
2014,PA,Fall,10,PR,2,1.623662938
2014,VA,Fall,5,PR,1,1.623662938
2014,PA,Fall,19,PR,1,1.621701325
2012,VA,Spring,7,PR,1,1.954242509
2014,MA,Spring,8,PR,2,1.953844804
2014,PA,Spring,18,PR,2,1.953844804
2014,VA,Fall,4,PR,1,1.952242963
2014,VA,Fall,7,PR,3,1.617899404
2012,VA,Spring,17,PR,3,1.948366013
2014,MA,Spring,4,PR,1,1.948366013
2014,VA,Spring,10,PR,2,1.948366013
2014,VA,Spring,8,PR,1,1.945652246
2014,MA,Fall,17,PR,1,1.612318912
2012,MA,Fall,29,PR,2,1.942671688
2012,PA,Spring,9,PR,2,1.939847979
2012,PA,Spring,10,PR,1,1.939847979
2014,MA,Fall,20,PR,1,1.606514645
2012,PA,Spring,1,PR,2,1.937414899
2014,MA,Fall,12,PR,2,1.600696419
2012,MA,Fall,3,PR,,1.933801237
2014,VA,Fall,15,PR,2,1.600467903
2012,VA,Spring,7,PR,2,1.932422514
2014,VA,Spring,7,PR,3,1.93056355
2014,PA,Fall,13,PR,2,1.596526904
2014,MA,Fall,5,PR,1,1.59439623
2014,MA,Fall,16,PR,1,1.594157541
2012,MA,Spring,12,PR,1,1.926291491
2012,MA,Spring,15,PR,4,1.926291491
2012,MA,Spring,18,PR,3,1.924351564
2014,PA,Spring,16,PR,1,1.924351564
2012,PA,Spring,6,PR,1,1.918370755
2014,PA,Spring,17,PR,1,1.917605477
2014,MA,Fall,6,PR,1,1.584272144
2014,PA,Fall,17,PR,2,1.917605477
2012,VA,Spring,16,PR,2,1.915544733
2014,MA,Spring,18,PR,1,1.913979693
2014,PA,Fall,20,PR,1,1.580646359
2014,VA,Fall,5,PR,3,1.580646359
2012,PA,Spring,4,PR,3,1.912662442
2014,MA,Fall,20,PR,2,1.579064214
2012,MA,Spring,1,PR,3,1.909991429
2014,PA,Spring,8,PR,3,1.906719768
2014,VA,Spring,5,PR,2,1.906719768
2014,PA,Spring,4,PR,2,1.906719768
2012,PA,Spring,15,PR,1,1.905612574
2012,VA,Spring,17,PR,2,1.905612574
2012,VA,Spring,2,PR,1,1.905612574
2012,PA,Spring,2,PR,1,1.903372455
2012,PA,Spring,8,PR,3,1.903372455
2012,VA,Spring,13,PR,1,1.903089987
2014,MA,Fall,16,PR,2,1.568905927
2012,MA,Spring,19,PR,3,1.899945909
2014,PA,Fall,2,PR,2,1.899076448
2014,MA,Spring,17,PR,1,1.895247246
2014,MA,Spring,6,PR,1,1.895247246
2012,PA,Spring,13,PR,1,1.893747079
2014,PA,Fall,16,PR,2,1.560413746
2012,MA,Spring,3,PR,1,1.89283946
2012,VA,Fall,30,PR,2,1.887900308
2014,MA,Spring,7,PR,2,1.887900308
2014,MA,Spring,14,PR,1,1.886955159
2012,VA,Spring,11,PR,1,1.886321614
2012,PA,Spring,5,PR,1,1.885046145
2014,VA,Fall,7,PR,12,1.885046145
2012,PA,Spring,1,PR,4,1.881150892
2014,PA,Spring,16,PR,2,1.87982883
2014,VA,Fall,16,PR,2,1.87982883
2014,VA,Fall,6,PR,2,1.877822819
2012,PA,Spring,9,PR,1,1.876809292
2012,VA,Spring,20,PR,2,1.87441643
2014,PA,Spring,5,PR,1,1.87303111
2012,VA,Fall,28,PR,3,1.871632405
2012,MA,Spring,9,PR,1,1.86735333
2014,PA,Fall,9,PR,1,1.531832074
2012,MA,Spring,13,PR,2,1.864428689
2014,MA,Spring,15,PR,3,1.864058919
2014,MA,Spring,1,PR,2,1.859927866
2014,VA,Fall,18,PR,2,1.859927866
2012,PA,Spring,20,PR,2,1.858395948
2014,MA,Spring,12,PR,1,1.858395948
2014,VA,Fall,9,PR,3,1.523514313
2012,PA,Spring,14,PR,2,1.855282606
2012,PA,Fall,31,PR,1(2),1.854493695
2014,MA,Fall,7,PR,1,1.520367128
2014,PA,Spring,20,PR,2,1.850483333
2014,MA,Spring,5,PR,2,1.850483333
2014,PA,Spring,13,PR,2,1.848435705
2012,PA,Spring,3,PR,2,1.847608476
2014,PA,Spring,16,PR,3,1.846776492
2014,VA,Fall,20,PR,1,1.512606365
2014,PA,Fall,13,PR,3,1.507046028
2012,PA,Fall,29,PR,1,1.839942665
2012,PA,Fall,35,PR,2,1.839942665
2014,PA,Spring,5,PR,2,1.839942665
2012,VA,Spring,15,PR,3,1.839065299
2014,MA,Fall,10,PR,2,1.504405867
2014,PA,Fall,1,PR,3,1.502168344
2014,VA,Spring,3,PR,3,1.833686421
2012,MA,Fall,39,PR,2,1.832770185
2012,PA,Fall,37,PR,1,1.831848113
2014,MA,Fall,2,PR,3,1.497120565
2014,PA,Fall,17,PR,2,1.495712792
2012,PA,Spring,20,PR,1,1.827624528
2014,VA,Fall,1,PR,1,1.827147543
2012,MA,Fall,30,PR,2,1.825707085
2014,PA,Spring,4,PR,3,1.825223729
2014,MA,Fall,11,PR,2,1.491890396
2014,PA,Fall,15,PR,1,1.489940672
2012,MA,Spring,18,PR,1,1.821297663
2014,VA,Spring,18,PR,2,1.821297663
2014,VA,Fall,13,PR,3,1.821297663
2014,MA,Spring,5,PR,1,1.820299281
2012,PA,Spring,11,PR,3,1.819797496
2014,PA,Spring,13,PR,1,1.81828162
2012,MA,Fall,26,PR,1,1.817262145
2014,MA,Spring,11,PR,2,1.817262145
2014,VA,Fall,13,PR,1,1.817262145
2012,VA,Fall,29,PR,1,1.815719344
2014,MA,Spring,7,PR,1,1.813110898
2014,MA,Fall,5,PR,1,1.479777565
2012,PA,Spring,19,PR,2,1.812054216
2014,PA,Spring,4,PR,2,1.812054216
2014,VA,Fall,10,PR,3,1.812054216
2012,MA,Fall,29,PR,3,1.809917427
2014,MA,Fall,15,PR,2,1.476584093
2012,MA,Spring,7,PR,1,1.808837087
2014,PA,Fall,14,PR,2,1.808837087
2014,MA,Fall,10,PR,2,1.474415291
2014,MA,Spring,12,PR,2,1.806651916
2012,VA,Spring,18,PR,2,1.805546836
2012,VA,Spring,5,PR,1,1.804991116
2012,MA,Fall,25,PR,1,1.802746655
2014,VA,Spring,18,PR,1,1.80218006
2014,VA,Spring,11,PR,1,1.801040174
2014,PA,Fall,8,PR,2,1.46770684
2014,VA,Fall,12,PR,1,1.464817227
2014,PA,Spring,12,PR,1,1.796978369
2014,PA,Spring,1,PR,1,1.794605122
2014,VA,Fall,16,PR,1,1.793403747
2012,PA,Spring,7,PR,2,1.792192319
2014,MA,Spring,11,PR,3,1.790970668
2014,MA,Spring,10,PR,1,1.790970668
2014,PA,Fall,1,PR,2,1.457022621
2012,PA,Spring,8,PR,1,1.789738619
2012,PA,Spring,17,PR,1,1.787242612
2012,MA,Spring,14,PR,2,1.787242612
2012,PA,Spring,14,PR,1,1.783416006
2012,PA,Spring,13,PR,1,1.782117658
2012,VA,Spring,20,PR,1,1.782117658
2014,MA,Fall,15,PR,2(2),1.447474227
2014,VA,Fall,2,PR,3,1.447474227
2012,MA,Spring,13,PR,1,1.779485498
2012,VA,Spring,20,PR,1,1.779485498
2012,VA,Spring,9,PR,2,1.779485498
2014,MA,Spring,2,PR,1,1.779485498
2012,MA,Spring,4,PR,1,1.77815125
2012,VA,Spring,17,PR,1,1.77815125
2012,PA,Spring,1,PR,3,1.776804591
2014,VA,Spring,10,PR,1,1.775445287
2012,MA,Fall,23,PR,2,1.771289073
2014,MA,Fall,3,PR,1,1.437251287
2012,MA,Spring,1,PR,2,1.768450456
2012,MA,Fall,34,PR,1,1.768450456
2014,MA,Fall,15,PR,3,1.435117123
